stop_names,stop_order,bus_no
BTM Layout Kuvempu Nagara-Towards(BTM Layout (Kuvempu Nagara)),0,8A
SI Apartment HSR Layout-Towards(Hebbala),1,8A
Depot-25 Gate (Towards Hebbala)-Towards(Hebbala),2,8A
Agara Junction-Towards(Banashankari),3,8A
Jn of Sarjapura Ring Road -Towards(Marathahalli Bridge),4,8A
Bellanduru-Towards(Marathahalli Bridge),5,8A
Kadabisanahalli-Towards(Hebbala),6,8A
Marathahalli Bridge-Towards(Hebbala),7,8A
Dodda Nekkundi (Towards Hebbala)-Towards(Hebbala),8,8A
Mahadevapura Ring Road-Towards(Hebbala),9,8A
Railway Station KR Puram-Towards(Tin Factory),10,8A
Kasthuri Nagara Ring Road-Towards(Hebbala),11,8A
Ramamurthy Nagara Ring Road-Towards(Hebbala),12,8A
Babusabpalya (Towards Hebbala)-Towards(Hebbala),13,8A
Kalyananagara-Towards(Hebbala),14,8A
Jn of Nagawara-Towards(Hebbala),15,8A
Veeranapalya-Towards(Hebbala),16,8A
Hebbala Bridge (Towards Bhadrappa Layout)-Towards(Bhadrappa Layout),17,8A
Military Dairy Farm-Towards(Yalahanka),18,8A
Navayuga Devanahalli Toll Plaza (KIAS Service)-Towards(Kempegowda International Airport),19,8A
Byatarayanapura (Towards Yalahanka)-Towards(Yalahanka),20,8A
Allalasandra Gate (Towards Kogilu Cross)-Towards(Yalahanka),21,8A
Kogilu Cross-Towards(Devanahalli),22,8A
Venkatala-Towards(Devanahalli),23,8A
Indian Air Force-Towards(Devanahalli),24,8A
Hunasamaranahalli-Towards(Devanahalli),25,8A
Bettahalasuru Cross (Towards Devanahalli)-Towards(Devanahalli),26,8A
Chikkajala-Towards(Devanahalli),27,8A
Sadahalli Gate-Towards(Devanahalli),28,8A
Trumpet-Towards(Kempegowda International Airport),29,8A
Kempegowda International Airport-Towards(Last Bus Stop ),30,8A
Chandapura (Towards Electronic City)-Towards(Electronic City),0,8C
BTL College-Towards(Bommasandra),1,8C
Hebbagodi-Towards(Electronic City),2,8C
Electronic City (Towards Bommanahalli)-Towards(Bommanahalli),3,8C
Konappana Agarhara-Towards(Madivala),4,8C
Hosa Road (Towards Singsandra)-Towards(Singsandra),5,8C
Singasandra-Towards(Bommanahalli),6,8C
Kudlu Gate-Towards(Madivala),7,8C
Bommanahalli (Towards St Johns)-Towards(St Johns),8,8C
SI Apartment HSR Layout-Towards(Hebbala),9,8C
Depot-25 Gate (Towards Hebbala)-Towards(Hebbala),10,8C
Agara Junction-Towards(Banashankari),11,8C
Jn of Sarjapura Ring Road -Towards(Marathahalli Bridge),12,8C
Bellanduru-Towards(Marathahalli Bridge),13,8C
Kadabisanahalli-Towards(Hebbala),14,8C
Marathahalli Bridge-Towards(Hebbala),15,8C
Dodda Nekkundi (Towards Hebbala)-Towards(Hebbala),16,8C
Mahadevapura Ring Road-Towards(Hebbala),17,8C
Railway Station KR Puram-Towards(Tin Factory),18,8C
Kasthuri Nagara Ring Road-Towards(Hebbala),19,8C
Ramamurthy Nagara Ring Road-Towards(Hebbala),20,8C
Babusabpalya (Towards Hebbala)-Towards(Hebbala),21,8C
Kalyananagara-Towards(Hebbala),22,8C
Jn of Nagawara-Towards(Hebbala),23,8C
Veeranapalya-Towards(Hebbala),24,8C
Hebbala Bridge (Towards Bhadrappa Layout)-Towards(Bhadrappa Layout),25,8C
Military Dairy Farm-Towards(Yalahanka),26,8C
Navayuga Devanahalli Toll Plaza (KIAS Service)-Towards(Kempegowda International Airport),27,8C
Byatarayanapura (Towards Yalahanka)-Towards(Yalahanka),28,8C
Allalasandra Gate (Towards Kogilu Cross)-Towards(Yalahanka),29,8C
